Start,End,Duration,Observer,BV,TV,UV,MK,OS,BE,NH,SS,CH,NG,UA,RS,BW,SW,RT,RL,UB,GE,UE,AK,ML,PG,UF,UR,TOTAL,WindSpd,WindDir,Temp,CloudCover,Visibility,FlightDIR,FlightHT,SkyCode,Counter,Observer1,Observer2,Observer3,Observer4,HawkYear
'2018-12-06 14:00','2018-12-06 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,292.5,0,50,40,225,'1: Eye level to 30m','1: Partly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 13:00','2018-12-06 14:00',60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8.5,292.5,0,75,40,225,'1: Eye level to 30m','2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 12:00','2018-12-06 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,292.5,0,100,20,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 11:00','2018-12-06 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,292.5,-2,100,12,225,'0: Below eye level','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 10:00','2018-12-06 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,292.5,-2,85,9,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 09:00','2018-12-06 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,292.5,-3,90,9,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 08:00','2018-12-06 09:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,292.5,-4,100,9,?,?,'8.  Snow','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 07:45','2018-12-06 08:00',15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,292.5,-4,100,9,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-05 15:00','2018-12-05 16:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,-2,95,20,?,(none),'3: Overcast','JF Therrien',?,?,?,?,2018
'2018-12-05 14:00','2018-12-05 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,-2,90,20,225,'1: Eye level to 30m','3: Overcast','JF Therrien',?,?,?,?,2018
'2018-12-05 13:00','2018-12-05 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,75,20,225,'1: Eye level to 30m','3: Overcast','JF Therrien',?,?,?,?,2018
'2018-12-05 12:00','2018-12-05 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,-2,75,20,?,'1: Eye level to 30m','3: Overcast','JF Therrien',?,?,?,?,2018
'2018-12-05 11:00','2018-12-05 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-2,75,20,225,'1: Eye level to 30m','3: Overcast','JF Therrien',?,?,?,?,2018
'2018-12-05 10:00','2018-12-05 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,50,20,225,'1: Eye level to 30m','2: Mostly Cloudy','JF Therrien',?,?,?,?,2018
'2018-12-05 09:00','2018-12-05 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-4,50,20,225,'1: Eye level to 30m','2: Mostly Cloudy','JF Therrien',?,?,?,?,2018
'2018-12-05 08:00','2018-12-05 09:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,-4,60,20,225,'1: Eye level to 30m','2: Mostly Cloudy','JF Therrien',?,?,?,?,2018
'2018-12-04 15:00','2018-12-04 16:00',30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,315,-2,0,77,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-04 14:00','2018-12-04 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,315,2,20,77,225,'3: At limit of unaided vision','1: Partly Cloudy','Rob Feldman',?,?,?,?,2018
'2018-12-04 13:00','2018-12-04 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,8.5,315,4,75,77,225,'2: Unaided eye','2: Mostly Cloudy','Rob Feldman',?,?,?,?,2018
'2018-12-04 12:00','2018-12-04 13:00',60,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8.5,315,4,75,77,225,'1: Eye level to 30m','2: Mostly Cloudy','Rob Feldman',?,?,?,?,2018
'2018-12-04 11:00','2018-12-04 12:00',60,60,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8.5,315,3,60,77,225,'2: Unaided eye','2: Mostly Cloudy','Rob Feldman',?,?,?,?,2018
'2018-12-04 10:00','2018-12-04 11:00',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,15.5,337.5,2,70,77,?,'2: Unaided eye','2: Mostly Cloudy','Rob Feldman',?,?,?,?,2018
'2018-12-04 09:00','2018-12-04 10:00',60,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,8.5,315,0,100,77,225,'2: Unaided eye','3: Overcast','Rob Feldman',?,?,?,?,2018
'2018-12-04 08:15','2018-12-04 09:00',45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,315,0,100,77,225,'1: Eye level to 30m','3: Overcast','Rob Feldman',?,?,?,?,2018
'2018-12-03 15:00','2018-12-03 16:00',45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,270,5,80,77,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-03 14:00','2018-12-03 15:00',60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,15.5,270,6,100,77,225,'1: Eye level to 30m','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-03 13:00','2018-12-03 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,24,270,6,100,77,225,'1: Eye level to 30m','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-03 12:00','2018-12-03 13:00',60,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,24,270,6,100,77,225,'1: Eye level to 30m','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-03 11:00','2018-12-03 12:00',60,60,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,15.5,270,7,90,77,225,'1: Eye level to 30m','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-03 10:00','2018-12-03 11:00',60,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,15.5,270,8,50,77,225,'1: Eye level to 30m','1: Partly Cloudy','Jesse Amesbury',?,?,?,?,2018
